code,tweet,joy,tentative,confident,analytical,sadness,fear,anger
1F60D,452,195.46626299999994,88.53221500000001,63.49462399999998,103.28426600000004,15.892149,2.707965,8.665682
1F602,452,68.64515299999997,109.220821,48.653006000000005,97.854886,55.79710800000003,3.136201,36.050930000000015
2764,452,213.42953200000005,85.49480899999999,77.477901,75.40378,38.09849899999999,3.2344779999999997,3.298623
1F618,437,179.2562029999999,86.67081900000011,54.753959000000016,70.77324299999997,18.843446,3.8914699999999995,15.697950999999996
1F62D,451,61.68004799999999,113.71445999999997,41.92817999999999,69.09084399999996,75.59937300000001,11.244874000000001,31.016709
1F44D,451,163.24806400000006,106.26530500000001,57.87433800000001,126.26077400000001,15.539419000000002,3.404829,10.676090999999998
1F60A,451,192.57470800000002,113.85289300000012,54.76524100000002,90.145225,23.938827999999997,1.3392049999999998,6.912536999999999
1F609,451,120.38480699999997,122.59242400000001,48.94489200000002,127.53453299999995,25.58302,4.030612,15.341012999999998
1F605,450,73.17624300000001,118.42915099999998,44.04138499999999,91.10674999999996,69.77306799999998,6.037439,14.061094999999996
1F614,450,49.447285000000015,111.646153,44.38062600000001,89.61060899999995,104.470435,14.725578999999996,18.056107
1F64F,449,199.70003699999992,103.95069600000001,82.98749299999994,101.23254600000003,28.221919000000003,5.945273,3.5249920000000006
1F61C,449,84.83579200000001,108.19897800000005,45.13650900000001,82.01604999999999,32.442765,2.869714,15.035452999999999
1F60F,449,71.341305,122.96190600000007,57.22249000000001,113.93044700000011,32.857941000000004,7.677607,18.096260999999995
1F44F,345,76.36908199999999,66.285455,30.051603000000007,32.558881,15.480669,2.1330799999999996,19.925778
1F44C,448,154.4362930000001,87.83441700000007,78.71656799999994,104.34271400000004,17.53989,1.712707,11.582073000000003
1F60B,448,153.61685199999997,105.77314200000004,36.66747600000001,83.10666800000003,20.276352999999997,3.3465450000000003,11.657195999999999
1F612,448,33.52091000000001,97.3810320000001,41.786245,68.02136999999995,64.69756,7.110074,64.56994599999999
1F631,448,47.881992999999994,101.79872000000005,46.340536,108.11859200000005,36.994411,36.209518,19.813162000000005
1F525,448,117.54004500000003,73.46696200000005,52.13503999999998,79.07794499999999,26.771970000000007,0.733035,19.054268
1F60E,448,148.91852100000006,110.30914199999998,61.17009799999999,98.27875300000004,27.939059000000004,4.786231000000001,12.875404999999999
1F622,448,52.76376999999996,122.75279399999997,54.99761500000002,87.42843500000004,122.15541400000006,7.32679,18.42002
1F608,447,99.09987499999997,95.48490100000001,45.146999,63.99885999999999,28.954297000000004,4.897077,28.463089999999994
270C,447,127.01331499999999,106.25568800000005,68.057684,95.825258,33.770449000000006,6.57559,17.16018
1F62C,446,45.37796800000001,141.21507500000007,46.247763,104.44679600000003,58.222723000000016,10.959401,18.520363
1F620,446,35.130037999999985,94.59957100000008,56.17270700000002,77.96200399999994,37.35436399999999,6.667912,56.37294599999999
